amc,Sigla,1991,2000,2010,Amazon
5106,RN,10455,12261,13949,0
5107,RN,6357,6746,7320,0
5108,RN,5995,7005,8768,0
5109,RN,6806,6963,8424,0
5110,RN,3332,4247,4692,0
5111,RN,2979,2953,3063,0
5112,RN,2558,2667,3165,0
5113,RN,3980,4200,4156,0
5114,RN,5816,5760,7067,0
5115,RN,5257,4467,4418,0
5116,RN,3304,3686,3595,0
5117,RN,28654,31294,35797,0
5118,RN,2510,2377,2526,0
5119,RN,19217,20107,22216,0
5120,RN,3239,3244,3905,0
5121,RN,3504,3234,3401,0
5122,RN,2795,3480,3874,0
5123,RN,45461,69435,87668,0
5124,RN,5483,5698,5922,0
5125,RN,28151,34912,39776,0
5126,RN,11826,11982,12356,0
5127,RN,3177,3777,4231,0
5128,RN,21286,23546,25978,0
5129,RN,27043,35459,39759,0
5130,RN,7019,6776,6235,0
5131,RN,7843,8201,8111,0
5132,RN,11465,10798,10827,0
5133,RN,4980,5633,6028,0
5134,RN,4309,5028,5637,0
5135,RN,2663,3302,3924,0
5136,RN,6294,5870,5743,0
5137,RN,8016,8237,10287,0
5138,RN,7505,7543,7770,0
5139,RN,6755,7253,6581,0
5140,RN,10397,10579,5752,0
5141,RN,4600,4448,5020,0
5142,RN,2071,2029,2317,0
5143,RN,10450,11531,11836,0
5144,RN,10213,12118,14175,0
5145,RN,9529,8875,9883,0
5146,RN,5964,7749,11385,0
5147,RN,1935,2189,2295,0
5148,RN,11084,11092,10659,0
5149,RN,8642,10991,12992,0
5150,RN,7970,8522,10719,0
5151,RN,1309,1521,1618,0
5152,RN,2297,2528,2872,0
6001,PB,8203,8377,9449,0
6002,PB,7259,5638,5530,0
6003,PB,30128,29169,28479,0
6004,PB,22337,22661,24002,0
6005,PB,11075,11833,13576,0
6006,PB,33255,34653,36598,0
6007,PB,17167,17123,19947,0
6008,PB,13270,15914,18007,0
6009,PB,21551,21190,22179,0
6010,PB,17230,16921,18148,0
6011,PB,79135,82283,88061,0
6012,PB,18369,18095,17224,0
6013,PB,9654,11530,12653,0
6014,PB,17896,19398,22145,0
6015,PB,28130,26131,23829,0
6016,PB,3444,4083,4160,0
6017,PB,6075,6039,6470,0
6018,PB,28799,28041,27458,0
6019,PB,32538,33605,38047,0
6020,PB,5358,6483,8012,0
6021,PB,23157,21810,21851,0
6022,PB,18895,21065,22442,0
6023,PB,17020,16772,19057,0
6024,PB,5045,5162,5611,0
6025,PB,77491,87561,99716,0
6026,PB,15645,16605,17093,0
6027,PB,8141,7011,7143,0
6028,PB,10606,11612,12295,0
6029,PB,5970,6588,5751,0
6030,PB,326307,360314,391440,0
6031,PB,1735,2193,2400,0
6032,PB,6277,5285,5035,0
6033,PB,9043,9230,10804,0
6034,PB,5754,6307,6156,0
6035,PB,4184,4730,5111,0
6036,PB,13884,13400,14807,0
6037,PB,6233,5948,6198,0
6038,PB,15007,18441,20362,0
6039,PB,6180,6479,7455,0
6040,PB,29052,42832,57944,0
6041,PB,7315,7834,9546,0
6042,PB,2906,3577,3557,0
6043,PB,17672,16817,16748,0
6044,PB,12771,14680,14805,0
6045,PB,10529,10714,11162,0
6046,PB,51273,54715,58446,0
6047,PB,39511,40889,42136,0
6048,PB,4522,5155,5637,0
6049,PB,5549,5516,5749,0
6050,PB,49887,54399,59315,0
6051,PB,7537,8104,8243,0
6052,PB,1872,2160,2378,0
6053,PB,32732,37226,33751,0
6054,PB,5199,4748,4812,0
6055,PB,25220,26641,28759,0
6056,PB,23216,21479,21902,0
6057,PB,7399,6495,6584,0
6058,PB,10391,16413,21400,0
6059,PB,4367,4602,4687,0
6060,PB,14485,15130,15149,0
6061,PB,13595,13697,14744,0
6062,PB,12651,14081,16257,0
6063,PB,6279,6388,6866,0
6064,PB,23153,22544,23147,0
6065,PB,6989,7254,6889,0
6066,PB,2537,2558,2505,0
6067,PB,3052,3121,3512,0
6068,PB,7356,6920,6616,0
6069,PB,9842,10227,10517,0
6070,PB,7357,7262,8033,0
6071,PB,3129,3061,3317,0
6072,PB,27594,28166,31095,0
6073,PB,13195,11892,11405,0
6074,PB,2684,2923,2933,0
6075,PB,48654,51482,55326,0
6076,PB,13136,13182,13872,0
6077,PB,6072,5589,5797,0
6078,PB,6583,6383,6031,0
6079,PB,10223,11577,11352,0
6080,PB,21721,21421,22444,0
6081,PB,26464,25207,24481,0
6082,PB,19814,21123,23192,0
6083,PB,13435,14633,16997,0
6084,PB,9141,9374,10201,0
6085,PB,18344,19000,19707,0
6086,PB,9458,9843,10240,0
6087,PB,497600,597934,723515,0
6088,PB,7219,7081,7459,0
6089,PB,5768,5968,6643,0
6090,PB,9405,9647,10237,0
6091,PB,10523,10045,9826,0
6092,PB,5756,4844,4681,0
6093,PB,7322,7086,7370,0
6094,PB,21660,24154,25900,0
6095,PB,3278,3118,2841,0
6096,PB,7029,7605,7164,0
6097,PB,7699,9755,11730,0
6098,PB,4719,3459,4019,0
6099,PB,6023,5692,5613,0
6100,PB,11375,10473,10759,0
6101,PB,27127,28514,30585,0
6102,PB,20702,20663,21176,0
6103,PB,12030,11697,12902,0
6104,PB,4990,5500,7407,0
6105,PB,17552,16985,20092,0
6106,PB,13295,13231,12491,0
6107,PB,3836,3969,4990,0
6108,PB,4053,4112,4508,0
6109,PB,27052,27687,30852,0
6110,PB,10922,9189,9469,0
6111,PB,11624,10562,10566,0
6112,PB,7420,7272,7280,0
6113,PB,7257,9421,10533,0
6114,PB,6198,6457,6070,0
6115,PB,3320,3573,4361,0
6116,PB,9109,7831,6931,0
6117,PB,3392,3194,3627,0
6118,PB,2826,2823,2928,0
6119,PB,6180,5573,5241,0
6120,PB,81298,91761,100674,0
6121,PB,11004,11266,11788,0
6122,PB,3566,3692,3721,0
6123,PB,6677,6617,7475,0
6124,PB,26614,25861,27032,0
6125,PB,15960,14872,15465,0
6126,PB,13773,15174,16699,0
6127,PB,7894,7800,6978,0
6128,PB,5391,5430,5155,0
6129,PB,10596,10198,10326,0
6130,PB,9463,13927,17024,0
6131,PB,14502,14880,17032,0
6132,PB,20133,20077,20950,0
6133,PB,3311,3425,3854,0
6134,PB,22234,23201,25502,0
6135,PB,11573,11981,12923,0
6136,PB,32555,36032,41049,0
6137,PB,1657,1308,1699,0
6138,PB,58515,57932,61680,0
6139,PB,9462,8064,8314,0
6140,PB,2710,2823,3508,0
6141,PB,12534,12046,11976,0
6142,PB,17362,16054,15956,0
6143,PB,7410,6471,6471,0
6144,PB,6127,6170,5369,0
6145,PB,13040,14012,14719,0
6146,PB,6501,5773,5331,0
6147,PB,8064,7882,7266,0
6148,PB,94413,115844,120310,0
6149,PB,4920,4728,4581,0
6150,PB,21579,26225,30879,0
6151,PB,4146,4481,4396,0
6152,PB,7650,7184,7564,0
6153,PB,5329,5737,6010,0
6154,PB,5998,5109,4760,0
6155,PB,17625,17876,19096,0
6156,PB,2808,2838,3233,0
6157,PB,4001,3903,4010,0
6158,PB,8521,8018,7748,0
6159,PB,4213,6086,6696,0
6160,PB,8794,10026,11041,0
6161,PB,4448,4747,5310,0
6162,PB,7870,9106,10230,0
6163,PB,3703,3436,3204,0
6164,PB,2598,2855,2975,0
6165,PB,7305,7307,7050,0
6166,PB,9561,6678,6238,0
6167,PB,11175,12061,13739,0
6168,PB,10407,9388,10262,0
6169,PB,14342,13584,14103,0
6170,PB,2211,2051,2504,0
7001,PE,77035,89039,94429,0
7002,PE,29617,32922,35088,0
7003,PE,13305,15014,17586,0
7004,PE,17993,20036,22679,0
7005,PE,36609,42128,47188,0
7006,PE,38355,36641,40235,0
7007,PE,11068,12535,13759,0
7008,PE,37455,37189,37415,0
7009,PE,23144,22131,22353,0
7010,PE,19997,21309,21939,0
7011,PE,8734,9082,10202,0
7012,PE,79837,97385,120177,0
7013,PE,60585,70898,77302,0
7014,PE,55776,61600,68793,0
7015,PE,10520,10939,12776,0
7016,PE,40569,39139,40732,0
7017,PE,12204,10626,11353,0
7018,PE,23002,20208,20253,0
7019,PE,60658,68698,72432,0
7020,PE,11226,11305,12003,0
7021,PE,52134,57371,58668,0
7022,PE,28507,31731,35158,0
7023,PE,41177,42085,45503,0
7024,PE,36798,37013,37826,0
7025,PE,35043,37750,37566,0
7026,PE,8707,8916,8844,0
7027,PE,7403,7278,7307,0
7028,PE,31206,38109,45180,0
7029,PE,12462,12007,12537,0
7030,PE,38123,44169,52105,0
7031,PE,127036,152977,185025,0
7032,PE,23965,26741,30873,0
7033,PE,15852,17042,18819,0
7034,PE,20626,24137,26577,0
7035,PE,9424,11709,11125,0
7036,PE,6878,7079,5648,0
7037,PE,99407,128702,144466,0
7038,PE,13827,15115,17104,0
7039,PE,7488,7844,8156,0
7040,PE,24576,24920,24521,0
7041,PE,19577,19556,19593,0
7042,PE,25931,24551,25313,0
7043,PE,32336,35133,41067,0
7044,PE,66078,76921,90865,0
7045,PE,213697,253634,314912,0
7046,PE,67572,72212,80154,0
7047,PE,31519,31257,37820,0
7048,PE,9005,9551,10778,0
7049,PE,10899,11102,12404,0
7050,PE,15499,18407,20137,0
7051,PE,18450,21797,24282,0
7052,PE,16218,17044,17419,0
7053,PE,12415,12681,12452,0
7054,PE,18004,27489,17183,0
7055,PE,22701,22383,23390,0
7056,PE,28849,29969,33855,0
7057,PE,175406,232949,310879,0
7058,PE,55841,57341,63517,0
7059,PE,31941,32423,31636,0
7060,PE,18526,18857,20571,0
7062,PE,10927,10727,11430,0
7063,PE,21810,20823,22169,0
7064,PE,14099,12978,14293,0
7065,PE,19641,24003,27912,0
7066,PE,103341,117749,129408,0
7067,PE,26808,27554,29019,0
7068,PE,64150,71177,75644,0
7069,PE,5947,6110,6855,0
7070,PE,61485,67273,76458,0
7071,PE,18586,17691,18360,0
7072,PE,28101,24340,26954,0
7073,PE,7548,7438,7534,0
7074,PE,11239,11486,11779,0
7075,PE,23198,26308,37164,0
7076,PE,4430,4567,4496,0
7077,PE,45424,59281,80637,0
7078,PE,21231,23042,28120,0
7079,PE,3248,3669,4369,0
7080,PE,27142,26799,26256,0
7081,PE,11606,15858,21884,0
7082,PE,34250,34982,35398,0
7083,PE,15658,14766,13881,0
7084,PE,16408,20116,23769,0
7085,PE,14027,14950,15692,0
7086,PE,487119,581556,644620,0
7087,PE,21491,25670,23731,0
7088,PE,14450,14653,15819,0
7089,PE,32963,40468,46455,0
7090,PE,27419,27023,30743,0
7091,PE,15702,15925,15773,0
7092,PE,19865,22024,24309,0
7093,PE,12688,13741,14541,0
7094,PE,16508,20172,20659,0
7095,PE,11375,10977,12132,0
7096,PE,16762,16100,15615,0
7097,PE,42006,56051,62195,0
7098,PE,29718,32209,36628,0
7099,PE,54860,56322,55439,0
7100,PE,20854,22494,23925,0
7101,PE,9021,9826,13596,0
7102,PE,12867,13122,14308,0
7103,PE,39132,49205,56696,0
7104,PE,26539,29254,30796,0
7105,PE,341394,367902,377779,0
7106,PE,20877,22475,22878,0
7107,PE,10731,10825,13180,0
7108,PE,73526,80112,91323,0
7109,PE,57731,55790,59526,0
7110,PE,8311,9536,8189,0
7111,PE,26666,25874,25645,0
7112,PE,11415,10348,11001,0
7113,PE,18746,19289,20224,0
7114,PE,29135,29132,28628,0
7115,PE,39608,45138,51357,0
7116,PE,211491,262237,300466,0
7117,PE,19614,20244,20944,0
7118,PE,57622,57721,62931,0
7119,PE,9584,11178,11242,0
7120,PE,21250,23351,24046,0
7121,PE,10854,11477,13439,0
7122,PE,21132,22145,24186,0
7123,PE,1298229,1422905,1537704,0
7124,PE,17941,18142,19162,0
7125,PE,41022,41449,44439,0
7126,PE,33833,38045,42866,0
7127,PE,11113,13649,11240,0
7128,PE,5923,7139,9312,0
7129,PE,47211,51571,56629,0
7130,PE,14837,15006,15309,0
7131,PE,15024,15879,21955,0
7132,PE,27674,26028,26774,0
7133,PE,38332,59048,87582,0
7134,PE,11415,11739,13021,0
7135,PE,9748,10251,10991,0
7136,PE,9885,10477,13941,0
7137,PE,42236,45360,53242,0
7138,PE,29598,33426,35274,0
7139,PE,18912,19744,21312,0
7140,PE,17291,19842,20488,0
7141,PE,11533,13971,18180,0
7142,PE,31015,31652,32617,0
7143,PE,28676,29468,31829,0
7144,PE,85861,90402,102895,0
7145,PE,14172,16004,17000,0
7146,PE,72341,70912,79232,0
7147,PE,19009,17848,18331,0
7148,PE,31510,31657,33787,0
7149,PE,33258,33046,40296,0
7150,PE,11879,11116,11132,0
7151,PE,5779,5532,5744,0
7152,PE,22726,24065,26427,0
7153,PE,11675,12929,12725,0
7154,PE,17352,17096,22068,0
7155,PE,17093,19757,24903,0
7156,PE,6789,6300,6737,0
7157,PE,6677,7518,9278,0
7158,PE,57256,56906,53825,0
7159,PE,14907,21800,35554,0
7160,PE,11934,12394,13055,0
7161,PE,18799,21930,26116,0
7162,PE,19148,20801,24425,0
7163,PE,7110,7766,7925,0
7164,PE,12070,13462,16052,0
7165,PE,8132,8846,9142,0
7166,PE,14256,14957,18222,0
7167,PE,28018,28820,30732,0
7168,PE,106848,117609,129974,0
8001,AL,26560,28746,29641,0
8002,AL,16337,17849,17424,0
8003,AL,164921,186466,214006,0
8004,AL,38563,40552,44322,0
8005,AL,14334,19400,25577,0
8006,AL,4950,6379,7574,0
8007,AL,13033,14799,17076,0
8008,AL,5919,5919,4551,0
8009,AL,7067,6822,7030,0
8010,AL,22188,24227,25776,0
8011,AL,8305,11325,10583,0
8012,AL,13721,9552,10195,0
8013,AL,18597,18975,20409,0
8014,AL,15074,10903,10800,0
8015,AL,36770,41028,50816,0
8016,AL,10041,9134,9032,0
8017,AL,18630,17334,17250,0
8018,AL,18777,18693,17077,0
8019,AL,5687,6585,8290,0
8020,AL,8196,7760,7146,0
8021,AL,9799,11993,10926,0
8022,AL,16739,17493,20019,0
8023,AL,4784,5134,5526,0
8024,AL,99929,100302,118736,0
8025,AL,17816,20789,22641,0
8026,AL,41214,42995,48096,0
8027,AL,10011,11066,10880,0
8028,AL,77204,84401,87619,0
8029,AL,19052,21270,21321,0
8030,AL,3438,3836,4345,0
8031,AL,12097,11979,12325,0
8032,AL,27801,29574,36600,0
8033,AL,15620,15105,15149,0
8034,AL,26127,25584,25188,0
8035,AL,19849,21451,23292,0
8036,AL,14791,17768,17898,0
8037,AL,4746,5720,5413,0
8038,AL,7481,7313,6997,0
8039,AL,7093,6868,7754,0
8040,AL,4372,5788,5558,0
8041,AL,24201,21488,22575,0
8042,AL,22221,23832,23836,0
8043,AL,15900,19988,18250,0
8044,AL,19447,24263,26992,0
8045,AL,629041,797759,932748,0
8046,AL,17257,17639,18897,0
8047,AL,16403,21832,28749,0
8048,AL,11380,13687,10284,0
8049,AL,24810,35866,45977,0
8050,AL,14966,15145,13619,0
8051,AL,3965,4078,3652,0
8052,AL,26475,25032,24698,0
8053,AL,21146,24017,23785,0
8054,AL,10564,11990,15682,0
8055,AL,9355,5399,5275,0
8056,AL,6140,7240,6935,0
8057,AL,28724,24671,26710,0
8058,AL,14553,10375,12060,0
8059,AL,15653,19417,20364,0
8060,AL,6414,7059,8491,0
8061,AL,4413,4847,4957,0
8062,AL,10130,10369,11047,0
8063,AL,9346,10077,10912,0
8064,AL,3628,4523,5112,0
8065,AL,21506,24351,23811,0
8066,AL,14091,13755,14763,0
8067,AL,7117,7485,7426,0
8068,AL,52245,56993,60378,0
8069,AL,16914,16775,17203,0
8070,AL,29254,31201,33305,0
8071,AL,3748,2926,2866,0
8072,AL,14458,20007,23045,0
8073,AL,11489,13222,13872,0
8074,AL,22658,23951,25708,0
8075,AL,9615,10238,8429,0
8076,AL,17557,18355,19334,0
8077,AL,11402,11902,11480,0
8078,AL,53924,62510,68481,0
8079,AL,7445,6985,6656,0
8080,AL,5796,6388,6891,0
8081,AL,36088,41485,44932,0
8082,AL,12012,11534,10961,0
8083,AL,6313,6551,6718,0
8084,AL,21996,21071,22686,0
8085,AL,27413,27562,30088,0
8086,AL,31238,29543,32412,0
8087,AL,4897,5860,7163,0
8088,AL,24696,29124,32010,0
8089,AL,9186,12555,14603,0
8090,AL,9413,11979,13047,0
8091,AL,7715,6594,6122,0
8092,AL,16809,17046,19020,0
8093,AL,29664,36881,41152,0
8094,AL,22680,23439,25702,0
8095,AL,57425,58620,62358,0
8096,AL,23571,26263,25407,0
9001,SE,1891,2182,2275,0
9002,SE,16275,18344,20056,0
9003,SE,402341,461534,571149,0
9004,SE,10477,9762,10878,0
9005,SE,10542,14824,16857,0
9006,SE,12727,17807,24976,0
9007,SE,23015,24188,25533,0
9008,SE,6701,7102,7742,0
9009,SE,13420,15175,16749,0
9010,SE,3863,3965,3956,0
9011,SE,11473,17754,24686,0
9012,SE,25105,26518,30761,0
9013,SE,15418,17770,20007,0
9014,SE,6782,9352,13503,0
9015,SE,5122,5378,5633,0
9016,SE,10932,14268,16519,0
9017,SE,3325,3646,3813,0
9018,SE,2645,3266,4326,0
9019,SE,53869,59002,64409,0
9020,SE,4417,5068,5324,0
9021,SE,10278,11973,13874,0
9022,SE,10465,11363,11405,0
9023,SE,2148,2400,2929,0
9024,SE,5176,5519,5645,0
9025,SE,7125,8281,8348,0
9026,SE,11607,13152,15831,0
9027,SE,64838,76813,86967,0
9028,SE,30885,35454,38910,0
9029,SE,4834,5174,4972,0
9030,SE,20324,25482,30419,0
9031,SE,13004,14556,16864,0
9032,SE,10549,13020,12938,0
9033,SE,72144,83334,94861,0
9034,SE,18944,23560,26902,0
9035,SE,4968,5802,6401,0
9036,SE,2550,3208,3456,0
9037,SE,9982,11481,12042,0
9038,SE,14683,15454,16343,0
9039,SE,9232,10758,11001,0
9040,SE,9589,11587,13627,0
9041,SE,6682,7101,7344,0
9042,SE,21411,24728,25544,0
9043,SE,8584,8279,8508,0
9044,SE,23478,26910,32497,0
9045,SE,19606,22195,24580,0
9046,SE,4668,6023,6238,0
9047,SE,67574,131679,160827,0
9048,SE,11500,11536,13137,0
9049,SE,2144,2630,2974,0
9050,SE,7306,7929,8833,0
9051,SE,4430,5244,5973,0
9052,SE,4838,7255,8369,0
9053,SE,20155,26022,30880,0
9054,SE,17666,19973,21983,0
9055,SE,23476,25664,27146,0
9056,SE,25091,27385,28451,0
9057,SE,16992,19202,19386,0
9058,SE,7551,8337,9355,0
9059,SE,14032,15439,17173,0
9060,SE,5639,7102,9221,0
9061,SE,16717,18876,19365,0
9062,SE,9874,13948,12969,0
9063,SE,3363,3595,3749,0
9064,SE,10624,10670,11410,0
9065,SE,47558,64647,78864,0
9066,SE,7752,9260,10271,0
9067,SE,2222,2532,3393,0
9068,SE,3132,3447,3698,0
9069,SE,32196,36813,38702,0
9070,SE,6297,6914,8004,0
9071,SE,2205,2638,2957,0
9072,SE,37577,43172,48040,0
9073,SE,11278,12840,12855,0
9074,SE,14593,19214,22434,0
10001,BA,8754,9067,8316,0
10002,BA,11449,13648,17064,0
10003,BA,12894,14322,14653,0
10004,BA,13714,14302,15702,0
10005,BA,14145,14718,15731,0
10006,BA,7307,12160,10859,0
10007,BA,6612,5315,4602,0
10008,BA,116894,130095,141949,0
10009,BA,15410,20900,21271,0
10010,BA,10004,7862,6357,0
10011,BA,28026,31108,34351,0
10012,BA,22779,24134,25190,0
10013,BA,15965,15959,15961,0
10014,BA,41544,31060,25516,0
10015,BA,14285,13884,13960,0
10016,BA,17170,15774,14414,0
10017,BA,16052,14701,14073,0
10018,BA,7859,8834,10242,0
10019,BA,17104,14059,17072,0
10020,BA,11328,11620,11554,0
10021,BA,14082,9716,11015,0
10022,BA,15742,16769,17731,0
10023,BA,7647,7443,7459,0
10024,BA,15464,15491,13743,0
10025,BA,8940,11003,11561,0
10026,BA,45341,47584,51651,0
10027,BA,7636,9258,10036,0
10028,BA,13594,11218,10392,0
10029,BA,7811,8381,8599,0
10030,BA,15737,17149,13595,0
10031,BA,13823,12179,13850,0
10032,BA,21634,20441,20060,0
10033,BA,11489,11156,11814,0
10034,BA,39806,44203,49325,0
10035,BA,17246,24440,21187,0
10036,BA,24844,40818,34788,0
10037,BA,14469,13610,13987,0
10038,BA,9690,8074,6313,0
10039,BA,92640,131849,197532,0
10040,BA,12059,12098,13612,0
10041,BA,76013,83206,90953,0
10042,BA,10601,8602,6453,0
10043,BA,22070,20032,21798,0
10044,BA,14301,17655,16021,0
10045,BA,14620,14641,14836,0
10046,BA,13505,20544,15411,0
10047,BA,17160,18408,17991,0
10048,BA,48910,54421,63480,0
10049,BA,10226,10502,10113,0
10050,BA,13643,12461,13695,0
10051,BA,11085,12902,14834,0
10052,BA,19444,22121,22037,0
10053,BA,10254,11522,11154,0
10054,BA,13041,15344,14282,0
10055,BA,11268,8762,11077,0
10056,BA,14263,13003,10717,0
10057,BA,57176,61670,64602,0
10058,BA,20839,19118,18605,0
10059,BA,12539,17797,19600,0
10060,BA,9707,15508,11420,0
10061,BA,14523,15547,17327,0
10062,BA,28290,30416,32026,0
10063,BA,17812,20339,22236,0
10064,BA,17116,12563,10368,0
10065,BA,10655,13076,13639,0
10066,BA,40380,45090,47515,0
10067,BA,13704,16059,17209,0
10068,BA,15217,11410,15374,0
10069,BA,15815,11395,12491,0
10070,BA,37023,31055,31472,0
10071,BA,113639,161727,242970,0
10072,BA,32850,33661,35180,0
10073,BA,26125,27607,28090,0
10074,BA,62104,61942,66616,0
10075,BA,9475,9743,9410,0
10076,BA,22589,21665,24067,0
10077,BA,33019,35322,32336,0
10078,BA,10728,10121,8895,0
10079,BA,67941,76783,83158,0
10080,BA,12610,12124,13210,0
10081,BA,23568,28516,27918,0
10082,BA,30903,31947,32908,0
10083,BA,13762,13761,15732,0
10084,BA,17142,11898,11527,0
10085,BA,19659,23908,26577,0
10086,BA,17088,17164,10222,0
10087,BA,19763,20103,21414,0
10088,BA,6400,8034,8899,0
10089,BA,25565,27272,28380,0
10090,BA,46838,55730,64940,0
10091,BA,26773,25561,25408,0
10092,BA,3274,3092,2612,0
10093,BA,43430,46731,51077,0
10094,BA,9714,8640,8843,0
10095,BA,14696,16792,17013,0
10096,BA,9603,10171,10734,0
10097,BA,27201,30934,32300,0
10098,BA,12273,14285,15755,0
10099,BA,31064,27852,20964,0
10100,BA,15983,17611,18153,0
10101,BA,16067,17514,20391,0
10102,BA,18542,18912,17889,0
10103,BA,52338,56317,62040,0
10104,BA,22905,26194,30123,0
10105,BA,16149,20426,23620,0
10106,BA,17898,18047,16898,0
10107,BA,4763,4264,4663,0
10108,BA,21937,23818,22401,0
10109,BA,10664,8193,8168,0
10110,BA,14167,15148,14307,0
10111,BA,17133,19665,17066,0
10112,BA,28005,30583,31249,0
10113,BA,12480,13374,13636,0
10114,BA,4720,5001,5041,0
10115,BA,16778,19037,20046,0
10116,BA,12651,12662,13280,0
10117,BA,45858,53049,58606,0
10118,BA,24895,28841,32168,0
10119,BA,13507,15222,12836,0
10120,BA,31260,45333,66440,0
10121,BA,9730,10427,11355,0
10122,BA,3904,3748,3874,0
10123,BA,7839,7860,7947,0
10124,BA,21362,32924,23766,0
10125,BA,27718,37513,39872,0
10126,BA,23205,27230,32802,0
10127,BA,51812,53885,56289,0
10128,BA,70545,84120,100196,0
10129,BA,17683,18298,17652,0
10130,BA,6343,6235,6184,0
10131,BA,406447,480949,556642,0
10132,BA,16994,17194,16740,0
10133,BA,5523,5170,5384,0
10134,BA,13940,11614,10660,0
10135,BA,15418,18288,22528,0
10136,BA,26461,27160,30336,0
10137,BA,7118,4792,4561,0
10138,BA,11093,10173,10622,0
10139,BA,12815,14559,15076,0
10140,BA,8951,10522,8357,0
10141,BA,17859,17165,19818,0
10142,BA,8534,12836,10412,0
10143,BA,65592,71728,78833,0
10144,BA,25441,24319,22165,0
10145,BA,11376,13108,13192,0
10146,BA,26065,28501,25736,0
10147,BA,11898,12828,10062,0
10148,BA,30560,28861,24272,0
10149,BA,8726,14453,17282,0
10150,BA,15636,15129,15785,0
10151,BA,17449,15362,17008,0
10152,BA,13245,13419,14171,0
10153,BA,5838,4495,4866,0
10154,BA,26784,22177,22598,0
10155,BA,8290,7096,7956,0
10156,BA,22694,24741,18943,0
10157,BA,17008,14443,15508,0
10158,BA,17285,17905,17840,0
10159,BA,23270,24149,25424,0
10160,BA,8596,5593,5255,0
10161,BA,13952,14557,15205,0
10162,BA,12695,14960,13343,0
10163,BA,22984,25134,25705,0
10164,BA,223750,222127,184236,0
10165,BA,25777,29589,36306,0
10166,BA,16376,18383,15331,0
10167,BA,45245,43621,44390,0
10168,BA,62672,61746,59343,0
10169,BA,8034,8541,9285,0
10170,BA,6354,6362,7002,0
10171,BA,17199,17553,11990,0
10172,BA,17006,18334,22601,0
10173,BA,23869,25163,27466,0
10174,BA,50908,57436,66181,0
10175,BA,20848,25746,28390,0
10176,BA,53742,58943,61631,0
10177,BA,185277,196675,204667,0
10178,BA,18431,18120,24318,0
10179,BA,14296,14006,14924,0
10180,BA,14554,14629,13051,0
10181,BA,19916,17191,15193,0
10182,BA,7887,7728,7110,0
10183,BA,17341,11309,13209,0
10184,BA,9773,8580,7309,0
10185,BA,24931,22511,21081,0
10186,BA,64308,64144,63069,0
10187,BA,8831,8347,7903,0
10188,BA,23901,30850,23089,0
10189,BA,5553,6370,7598,0
10190,BA,23225,21334,20216,0
10191,BA,15055,18945,20725,0
10192,BA,15644,14639,10995,0
10193,BA,11078,11126,10495,0
10194,BA,53476,57931,68273,0
10195,BA,24851,27315,32261,0
10196,BA,10474,10382,10207,0
10197,BA,7180,7861,7678,0
10198,BA,17216,16923,18539,0
10199,BA,10039,12700,14522,0
10200,BA,12622,13585,12693,0
10201,BA,34403,35543,36113,0
10202,BA,20510,19799,19914,0
10203,BA,16095,17268,18127,0
10204,BA,20553,24133,26591,0
10205,BA,10841,10489,10900,0
10206,BA,11692,10288,8973,0
10207,BA,13939,13520,13651,0
10208,BA,76518,76492,79247,0
10209,BA,39372,46621,51011,0
10210,BA,31141,27412,30343,0
10211,BA,13840,13422,16467,0
10212,BA,8225,10027,10331,0
10213,BA,144772,147202,151895,0
10214,BA,38449,34916,37680,0
10215,BA,11763,13638,14118,0
10216,BA,20831,21056,14115,0
10217,BA,19211,18967,22549,0
10218,BA,128767,174567,197965,0
10219,BA,16012,12377,10290,0
10220,BA,14002,15339,15052,0
10221,BA,8470,7556,6474,0
10222,BA,10229,10051,8031,0
10223,BA,5125,4102,3901,0
10224,BA,10978,12765,13934,0
10225,BA,18319,19601,22201,0
10226,BA,3818,3409,3733,0
10227,BA,6225,4352,3936,0
10228,BA,6476,8100,8305,0
10229,BA,10275,9523,9560,0
10230,BA,20913,24727,25646,0
10231,BA,69270,113543,163449,0
10232,BA,7584,8910,10368,0
10233,BA,14089,12349,12311,0
10234,BA,34345,38025,42693,0
10235,BA,10479,11474,11229,0
10236,BA,14057,14594,17093,0
10237,BA,34558,41806,47051,0
10238,BA,6770,8612,8073,0
10239,BA,9183,12036,17376,0
10240,BA,10399,13686,7038,0
10241,BA,7833,7326,8782,0
10242,BA,20769,20085,19326,0
10243,BA,15210,15614,16014,0
10244,BA,7279,8426,8468,0
10245,BA,17025,16704,14387,0
10246,BA,10290,11046,12592,0
10247,BA,27154,31683,24613,0
10248,BA,38811,40314,42815,0
10249,BA,17496,18366,19101,0
10250,BA,13661,10775,10500,0
10251,BA,20178,16093,14640,0
10252,BA,30535,32568,40183,0
10253,BA,8999,10242,11145,0
10254,BA,23059,21235,21560,0
10255,BA,25260,28267,26475,0
10256,BA,9298,12067,10306,0
10257,BA,14651,14261,16279,0
10258,BA,8189,13666,10507,0
10259,BA,51280,54552,52338,0
10260,BA,7411,8597,8280,0
10261,BA,31766,34494,35164,0
10262,BA,12907,12598,12477,0
10263,BA,10334,13682,10545,0
10264,BA,17606,28062,36026,0
10265,BA,13741,15119,12249,0
10266,BA,30854,21273,24395,0
10267,BA,6280,6941,7317,0
10268,BA,8257,9052,10272,0
