amc,Sigla,1991,2000,2010,Amazon
1187,MT,27995,28614,32896,1
1188,MT,4307,4349,5027,1
1189,MT,23825,33197,39548,1
1190,MT,149777,174496,222468,1
1191,MT,2023,2056,2397,1
1192,MT,7323,11561,20791,1
1193,MT,8005,9200,11478,1
1194,MT,5227,7134,7696,1
1195,MT,13247,12764,10455,1
1196,MT,36581,38017,39255,1
1197,MT,10948,12063,11430,1
1198,MT,6693,19316,45556,1
1199,MT,13693,16710,19929,1
1200,MT,10221,11289,14174,1
1201,MT,40766,48556,66821,1
1202,MT,10068,7246,6436,1
1203,MT,10472,12141,11609,1
1204,MT,7030,14186,17515,1
1205,MT,18509,17832,19643,1
1206,MT,4267,3511,3749,1
1207,MT,7170,9464,9796,1
1208,MT,12173,10254,10684,1
1209,MT,11225,13611,15755,1
1210,MT,37240,26156,30812,1
1211,MT,29856,30773,31779,1
1212,MT,3724,4067,3967,1
1213,MT,8586,9996,11031,1
1214,MT,23878,20030,17599,1
1215,MT,12523,39857,52066,1
1216,MT,22011,19693,18998,1
1217,MT,3186,2418,2572,1
1218,MT,7410,4675,3908,1
1219,MT,15389,15435,18463,1
1220,MT,39848,58840,83431,1
1221,MT,4548,3130,3418,1
1222,MT,161958,215298,252596,1
1223,MT,9461,15583,21382,1
2001,PA,99989,119152,141100,1
2002,PA,15952,19063,22078,1
2003,PA,37184,52126,53569,1
2004,PA,20008,29505,35042,1
2005,PA,53335,104574,205681,1
2006,PA,52856,51008,64880,1
2007,PA,33442,33957,33614,1
2008,PA,117543,150698,189480,1
2009,PA,14284,18322,24759,1
2010,PA,88151,393569,471980,1
2011,PA,316736,419640,549881,1
2012,PA,30323,33011,40497,1
2013,PA,42526,72271,107701,1
2014,PA,10876,15518,15849,1
2015,PA,13844,13708,23864,1
2016,PA,20072,21119,36882,1
2017,PA,28718,29229,41256,1
2018,PA,45946,63268,99859,1
2019,PA,1244689,1280614,1393399,1
2020,PA,265062,290526,334832,1
2021,PA,68465,121353,177038,1
2022,PA,8532,9814,13630,1
2023,PA,191317,235739,279775,1
2024,PA,11939,15008,14792,1
